  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.4  /pm    1.0 

 1.0-2.0   & 2.3  /pm    1.2 

 2.0-3.0   & 3.4  /pm    1.4 

 3.0-4.0   & 4.4  /pm    1.5 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.7 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.0 

 10.0-11.0   & 12.4  /pm    2.4 

 11.0-12.0   & 13.7  /pm    2.5 

 12.0-13.0   & 14.7  /pm    2.6 

 13.0-14.0   & 16.0  /pm    2.6 

 14.0-15.0   & 17.1  /pm    3.0 

 15.0-16.0   & 18.5  /pm    3.5 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.1  /pm    2.3 

 18.0-19.0   & 21.7  /pm    3.3 

 19.0-20.0   & 23.2  /pm    4.3 

 20.0-21.0   & 24.6  /pm    3.9 

 21.0-22.0   & 25.4  /pm    3.1 

 22.0-23.0   & 26.2  /pm    2.5 

 23.0-24.0   & 27.5  /pm    3.5 

 24.0-25.0   & 27.6  /pm    2.5 

 25.0-26.0   & 28.3  /pm    1.1 

 26.0-27.0   & 29.4  /pm    4.0 

 27.0-28.0   & 32.2  /pm    2.8 

 28.0-29.0   & 32.6  /pm    2.5 

 29.0-30.0   & 32.1  /pm    3.0 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.4  /pm    1.0 

 1.0-2.0   & 2.3  /pm    1.2 

 2.0-3.0   & 3.4  /pm    1.4 

 3.0-4.0   & 4.4  /pm    1.5 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.7 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.0 

 10.0-11.0   & 12.4  /pm    2.4 

 11.0-12.0   & 13.7  /pm    2.5 

 12.0-13.0   & 14.7  /pm    2.6 

 13.0-14.0   & 16.0  /pm    2.6 

 14.0-15.0   & 17.1  /pm    3.0 

 15.0-16.0   & 18.5  /pm    3.5 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.1  /pm    2.3 

 18.0-19.0   & 21.7  /pm    3.3 

 19.0-20.0   & 23.2  /pm    4.3 

 20.0-21.0   & 24.6  /pm    3.9 

 21.0-22.0   & 25.4  /pm    3.1 

 22.0-23.0   & 26.2  /pm    2.5 

 23.0-24.0   & 27.5  /pm    3.5 

 24.0-25.0   & 27.6  /pm    2.5 

 25.0-26.0   & 28.3  /pm    1.1 

 26.0-27.0   & 29.4  /pm    4.0 

 27.0-28.0   & 32.2  /pm    2.8 

 28.0-29.0   & 32.6  /pm    2.5 

