8.0 – 8.5   3.249 ± 0.008 ± 0.617
8.5 – 9.0   2.594 ± 0.005 ± 0.434
9.0 – 9.5   1.997 ± 0.003 ± 0.300
9.5 – 10.0   1.491 ± 0.003 ± 0.211
10.0 – 10.5   1.135 ± 0.002 ± 0.145
10.5 – 11.0   8.753 ± 0.017 ± 0.990) · 10−1
11.0 – 11.5   6.843 ± 0.014 ± 0.704) · 10−1
11.5 – 12.0   5.386 ± 0.012 ± 0.515) · 10−1
12.0 – 12.5   4.291 ± 0.010 ± 0.385) · 10−1
12.5 – 13.0   3.446 ± 0.009 ± 0.296) · 10−1
13.0 – 14.0   2.536 ± 0.005 ± 0.204) · 10−1
14.0 – 15.0   1.728 ± 0.004 ± 0.128) · 10−1
15.0 – 16.0   1.213 ± 0.004 ± 0.083) · 10−1
16.0 – 17.0   8.658 ± 0.030 ± 0.570) · 10−2
17.0 – 18.0   6.268 ± 0.025 ± 0.401) · 10−2
18.0 – 20.0   4.095 ± 0.014 ± 0.245) · 10−2
20.0 – 22.0   2.380 ± 0.011 ± 0.131) · 10−2
22.0 – 24.0   1.440 ± 0.008 ± 0.073) · 10−2
24.0 – 26.0   9.095 ± 0.067 ± 0.443) · 10−3
26.0 – 30.0   4.966 ± 0.035 ± 0.236) · 10−3
30.0 – 35.0   2.201 ± 0.021 ± 0.105) · 10−3
35.0 – 40.0   9.747 ± 0.139 ± 0.515) · 10−4
40.0 – 60.0   2.221 ± 0.034 ± 0.165) · 10−4
60.0 – 110.0   1.147 ± 0.051 ± 0.223) · 10−5
